date,men,women,jewel,mail,page,phone,print,service,YEAR_,MONTH_,DATE_,Seasonal_Err_Men,Seasonal_AdjSer_Men,Seasonal_Factors_Men,Seasonal_TrendCycle_Men
1989-11-01,13636.250000,33890.920000,24556.510000,8811.000000,74.000000,30.000000,28589.740000,16.000000,1989.000000,11.000000,"NOV 1989",1.003433,12295.121875,1.109078,12253.060261
1989-12-01,22849.010000,51378.000000,34645.890000,10309.000000,105.000000,45.000000,38738.650000,29.000000,1989.000000,12.000000,"DEC 1989",1.044570,12732.269955,1.794575,12189.009358
1990-01-01,12325.800000,18103.060000,11528.220000,8081.000000,66.000000,35.000000,22723.680000,22.000000,1990.000000,1.000000,"JAN 1990",1.079038,12949.837037,0.951811,12001.279842
1990-02-01,8273.580000,20979.500000,12884.840000,8378.000000,59.000000,20.000000,24912.460000,28.000000,1990.000000,2.000000,"FEB 1990",0.837766,9790.815204,0.845035,11686.813970
1990-03-01,10061.190000,34503.120000,14748.190000,8586.000000,60.000000,25.000000,29917.500000,28.000000,1990.000000,3.000000,"MAR 1990",0.992483,11820.715279,0.851149,11910.245006
1990-04-01,11497.760000,26783.960000,9595.200000,8438.000000,82.000000,35.000000,20911.520000,22.000000,1990.000000,4.000000,"APR 1990",1.106766,13535.505531,0.849452,12229.775707
1990-05-01,10363.160000,31790.150000,15926.020000,8589.000000,91.000000,28.000000,26902.890000,24.000000,1990.000000,5.000000,"MAY 1990",1.004691,12127.580717,0.854512,12070.952698
1990-06-01,10194.680000,32432.740000,11383.030000,8565.000000,80.000000,25.000000,26079.170000,25.000000,1990.000000,6.000000,"JUN 1990",0.989498,11774.057580,0.865860,11899.015662
1990-07-01,8401.240000,37180.050000,16052.950000,8526.000000,64.000000,24.000000,35957.270000,28.000000,1990.000000,7.000000,"JUL 1990",0.821505,9815.990630,0.855873,11948.784158
1990-08-01,13642.890000,29658.850000,14803.380000,8978.000000,74.000000,32.000000,25415.960000,19.000000,1990.000000,8.000000,"AUG 1990",1.126339,14346.319993,0.950968,12737.119769
1990-09-01,12772.630000,33238.460000,14125.400000,8761.000000,87.000000,28.000000,26777.600000,18.000000,1990.000000,9.000000,"SEP 1990",1.041151,13722.749670,0.930763,13180.364562
1990-10-01,14539.470000,35679.330000,15385.170000,8512.000000,105.000000,33.000000,30745.640000,20.000000,1990.000000,10.000000,"OCT 1990",0.975081,12743.579762,1.140925,13069.256203
1990-11-01,14927.350000,37238.870000,20424.640000,8697.000000,88.000000,34.000000,25929.750000,26.000000,1990.000000,11.000000,"NOV 1990",1.068952,13459.241912,1.109078,12591.058920
1990-12-01,19170.120000,46766.940000,27035.250000,11120.000000,87.000000,29.000000,25721.560000,30.000000,1990.000000,12.000000,"DEC 1990",0.885217,10682.263385,1.794575,12067.389942
1991-01-01,11771.400000,21752.780000,12735.820000,9115.000000,65.000000,30.000000,26496.360000,27.000000,1991.000000,1.000000,"JAN 1991",1.010195,12367.368584,0.951811,12242.553960
1991-02-01,10278.090000,20789.670000,11535.170000,8216.000000,70.000000,26.000000,24515.260000,27.000000,1991.000000,2.000000,"FEB 1991",0.986432,12162.918572,0.845035,12330.210478
1991-03-01,11857.590000,37427.020000,12908.510000,9358.000000,72.000000,28.000000,28598.310000,31.000000,1991.000000,3.000000,"MAR 1991",1.112685,13931.274062,0.851149,12520.408582
1991-04-01,9516.910000,37578.380000,12236.030000,8835.000000,78.000000,21.000000,28643.720000,33.000000,1991.000000,4.000000,"APR 1991",0.842084,11203.589911,0.849452,13304.594060
1991-05-01,10074.240000,34424.090000,19524.750000,8565.000000,91.000000,24.000000,34392.470000,23.000000,1991.000000,5.000000,"MAY 1991",0.807580,11789.469501,0.854512,14598.521397
1991-06-01,19504.500000,47208.790000,21888.880000,9589.000000,78.000000,24.000000,27145.350000,28.000000,1991.000000,6.000000,"JUN 1991",1.441676,22526.171107,0.865860,15624.991510
1991-07-01,12519.270000,34389.180000,14527.260000,9109.000000,58.000000,33.000000,29144.260000,24.000000,1991.000000,7.000000,"JUL 1991",1.019474,14627.487967,0.855873,14348.080117
1991-08-01,8567.180000,34637.010000,14252.130000,8613.000000,92.000000,23.000000,29190.440000,28.000000,1991.000000,8.000000,"AUG 1991",0.738985,9008.905424,0.950968,12190.922082
1991-09-01,9671.220000,35092.110000,13179.920000,9679.000000,90.000000,22.000000,25201.850000,24.000000,1991.000000,9.000000,"SEP 1991",0.953677,10390.634589,0.930763,10895.333817
1991-10-01,11556.620000,34735.170000,15685.610000,9152.000000,91.000000,24.000000,27234.640000,22.000000,1991.000000,10.000000,"OCT 1991",0.888758,10129.166245,1.140925,11396.996290
1991-11-01,15507.650000,33201.770000,22397.620000,9132.000000,82.000000,32.000000,28184.790000,18.000000,1991.000000,11.000000,"NOV 1991",1.111250,13982.469282,1.109078,12582.644673
1991-12-01,25896.350000,51760.840000,34065.230000,11574.000000,82.000000,40.000000,33831.450000,32.000000,1991.000000,12.000000,"DEC 1991",1.035632,14430.354708,1.794575,13933.863020
1992-01-01,11218.730000,20078.400000,9688.410000,9383.000000,86.000000,32.000000,22732.910000,27.000000,1992.000000,1.000000,"JAN 1992",0.823950,11786.717719,0.951811,14305.145130
1992-02-01,17277.720000,34596.860000,25361.350000,9003.000000,54.000000,27.000000,33446.100000,26.000000,1992.000000,2.000000,"FEB 1992",1.396972,20446.162805,0.845035,14636.062761
1992-03-01,8214.140000,35220.070000,12665.570000,9435.000000,71.000000,17.000000,29231.360000,28.000000,1992.000000,3.000000,"MAR 1992",0.703119,9650.648701,0.851149,13725.477648
1992-04-01,11111.670000,34564.350000,8713.270000,9305.000000,114.000000,27.000000,28140.750000,28.000000,1992.000000,4.000000,"APR 1992",0.949159,13080.988883,0.849452,13781.665699
1992-05-01,13446.880000,36778.060000,20272.690000,9069.000000,52.000000,36.000000,27821.670000,31.000000,1992.000000,5.000000,"MAY 1992",1.122451,15736.331639,0.854512,14019.614264
1992-06-01,11751.360000,38882.750000,12767.120000,9516.000000,70.000000,28.000000,28836.560000,35.000000,1992.000000,6.000000,"JUN 1992",0.909130,13571.901156,0.865860,14928.451436
1992-07-01,13703.470000,39468.250000,10732.060000,9174.000000,90.000000,36.000000,28031.410000,36.000000,1992.000000,7.000000,"JUL 1992",1.045035,16011.104684,0.855873,15321.110860
1992-08-01,16227.790000,38713.500000,13707.490000,10047.000000,86.000000,35.000000,26973.080000,35.000000,1992.000000,8.000000,"AUG 1992",1.121530,17064.497926,0.950968,15215.368315
1992-09-01,11958.030000,43817.010000,17265.920000,9173.000000,79.000000,25.000000,33723.180000,34.000000,1992.000000,9.000000,"SEP 1992",0.901019,12847.553890,0.930763,14258.913140
1992-10-01,16492.760000,46250.720000,17768.150000,9887.000000,92.000000,32.000000,30709.690000,36.000000,1992.000000,10.000000,"OCT 1992",1.063538,14455.602753,1.140925,13591.999769
1992-11-01,11907.340000,40400.870000,24859.850000,8740.000000,82.000000,26.000000,30619.220000,32.000000,1992.000000,11.000000,"NOV 1992",0.830189,10736.250546,1.109078,12932.301821
1992-12-01,26432.440000,60642.610000,30119.790000,12768.000000,89.000000,39.000000,28435.540000,45.000000,1992.000000,12.000000,"DEC 1992",1.116150,14729.082863,1.794575,13196.334847
1993-01-01,12340.270000,23663.650000,11616.360000,9281.000000,80.000000,36.000000,27079.190000,35.000000,1993.000000,1.000000,"JAN 1993",0.988791,12965.039631,0.951811,13112.018411
1993-02-01,10750.180000,24400.760000,13871.310000,9914.000000,58.000000,28.000000,27746.940000,37.000000,1993.000000,2.000000,"FEB 1993",0.957280,12721.581925,0.845035,13289.296151
1993-03-01,11469.630000,37879.200000,10974.730000,9516.000000,84.000000,28.000000,26989.710000,37.000000,1993.000000,3.000000,"MAR 1993",0.923433,13475.466678,0.851149,14592.799902
1993-04-01,11746.920000,41884.140000,12619.470000,9510.000000,79.000000,29.000000,30117.310000,41.000000,1993.000000,4.000000,"APR 1993",0.862277,13828.824104,0.849452,16037.570374
1993-05-01,21228.590000,53541.030000,29350.610000,10378.000000,79.000000,33.000000,30507.910000,37.000000,1993.000000,5.000000,"MAY 1993",1.417609,24842.947395,0.854512,17524.537539
1993-06-01,11683.260000,39528.520000,11729.620000,9286.000000,68.000000,27.000000,26337.390000,38.000000,1993.000000,6.000000,"JUN 1993",0.814213,13493.250985,0.865860,16572.148480
1993-07-01,12900.040000,43131.160000,12964.550000,10206.000000,88.000000,32.000000,34386.650000,35.000000,1993.000000,7.000000,"JUL 1993",0.944257,15072.378811,0.855873,15962.150605
1993-08-01,14274.130000,38643.970000,15087.120000,9731.000000,80.000000,33.000000,29018.320000,33.000000,1993.000000,8.000000,"AUG 1993",0.988960,15010.106847,0.950968,15177.669755
1993-09-01,15443.740000,44413.450000,14242.490000,9705.000000,82.000000,33.000000,28299.600000,35.000000,1993.000000,9.000000,"SEP 1993",1.079917,16592.555957,0.930763,15364.656187
1993-10-01,16823.610000,46639.550000,18342.970000,9873.000000,83.000000,29.000000,31942.430000,36.000000,1993.000000,10.000000,"OCT 1993",0.977379,14745.586732,1.140925,15086.871651
1993-11-01,15438.890000,49281.790000,24040.760000,10239.000000,92.000000,29.000000,32450.620000,40.000000,1993.000000,11.000000,"NOV 1993",0.947451,13920.471843,1.109078,14692.552529
1993-12-01,27831.920000,65196.810000,32845.900000,12619.000000,93.000000,42.000000,34049.630000,49.000000,1993.000000,12.000000,"DEC 1993",1.067586,15508.922216,1.794575,14527.088637
1994-01-01,12725.700000,22513.180000,12027.850000,9598.000000,72.000000,37.000000,27092.930000,31.000000,1994.000000,1.000000,"JAN 1994",0.927895,13369.983383,0.951811,14408.946415
1994-02-01,12583.020000,22573.290000,12062.750000,9924.000000,77.000000,33.000000,28142.240000,28.000000,1994.000000,2.000000,"FEB 1994",0.994189,14890.533907,0.845035,14977.570211
1994-03-01,12640.570000,37414.130000,11659.910000,9938.000000,70.000000,30.000000,26488.640000,32.000000,1994.000000,3.000000,"MAR 1994",0.973523,14851.183502,0.851149,15255.087499
1994-04-01,15439.020000,41151.050000,12551.130000,10336.000000,72.000000,37.000000,29197.420000,38.000000,1994.000000,4.000000,"APR 1994",1.135728,18175.274192,0.849452,16003.198250
1994-05-01,11314.280000,42418.670000,20888.100000,10078.000000,66.000000,27.000000,31539.690000,37.000000,1994.000000,5.000000,"MAY 1994",0.822008,13240.637407,0.854512,16107.673432
1994-06-01,15956.740000,35911.730000,12082.330000,10502.000000,77.000000,40.000000,28424.150000,28.000000,1994.000000,6.000000,"JUN 1994",1.083955,18428.785949,0.865860,17001.433018
1994-07-01,14710.610000,34901.720000,9937.810000,9727.000000,101.000000,37.000000,27467.780000,30.000000,1994.000000,7.000000,"JUL 1994",0.920860,17187.844879,0.855873,18664.986725
1994-08-01,17777.680000,40581.520000,17400.570000,10843.000000,66.000000,36.000000,29982.770000,32.000000,1994.000000,8.000000,"AUG 1994",0.916744,18694.300548,0.950968,20392.068729
1994-09-01,26931.200000,61179.200000,26013.420000,10195.000000,85.000000,43.000000,31706.320000,40.000000,1994.000000,9.000000,"SEP 1994",1.365981,28934.535481,0.930763,21182.241746
1994-10-01,19135.790000,44547.370000,14286.860000,10069.000000,87.000000,37.000000,22909.040000,40.000000,1994.000000,10.000000,"OCT 1994",0.859446,16772.170249,1.140925,19515.101600
1994-11-01,17430.030000,50375.310000,26372.540000,10413.000000,82.000000,33.000000,32400.110000,42.000000,1994.000000,11.000000,"NOV 1994",0.834680,15715.782795,1.109078,18828.511208
1994-12-01,31090.050000,63823.610000,29037.810000,13194.000000,102.000000,54.000000,30816.160000,50.000000,1994.000000,12.000000,"DEC 1994",0.910868,17324.466552,1.794575,19019.726463
1995-01-01,23967.980000,38327.120000,22947.130000,10363.000000,80.000000,45.000000,31244.640000,38.000000,1995.000000,1.000000,"JAN 1995",1.204250,25181.443403,0.951811,20910.477829
1995-02-01,17439.420000,26802.520000,13105.900000,10315.000000,75.000000,47.000000,29868.800000,39.000000,1995.000000,2.000000,"FEB 1995",0.995602,20637.515861,0.845035,20728.676160
1995-03-01,17882.830000,43726.640000,13841.980000,10942.000000,51.000000,47.000000,27131.900000,43.000000,1995.000000,3.000000,"MAR 1995",1.085375,21010.222629,0.851149,19357.571782
1995-04-01,12688.890000,44153.560000,9597.030000,10430.000000,91.000000,30.000000,24608.190000,45.000000,1995.000000,4.000000,"APR 1995",0.927186,14937.739244,0.849452,16110.834895
1995-05-01,12694.220000,50111.220000,17361.450000,10259.000000,82.000000,31.000000,29251.610000,56.000000,1995.000000,5.000000,"MAY 1995",1.053109,14855.524539,0.854512,14106.349331
1995-06-01,6766.940000,23246.300000,5983.550000,10537.000000,77.000000,31.000000,28675.140000,49.000000,1995.000000,6.000000,"JUN 1995",0.621646,7815.286129,0.865860,12571.922976
1995-07-01,13586.380000,44048.710000,13489.520000,11330.000000,66.000000,28.000000,28903.270000,41.000000,1995.000000,7.000000,"JUL 1995",1.166434,15874.296981,0.855873,13609.257218
1995-08-01,12651.740000,38977.730000,11396.690000,10260.000000,99.000000,26.000000,24925.650000,39.000000,1995.000000,8.000000,"AUG 1995",0.888526,13304.066111,0.950968,14973.186463
1995-09-01,16536.120000,45705.630000,18238.100000,10459.000000,51.000000,35.000000,28918.530000,34.000000,1995.000000,9.000000,"SEP 1995",1.047677,17766.195003,0.930763,16957.706287
1995-10-01,22533.510000,44370.370000,12411.750000,10922.000000,110.000000,45.000000,23991.030000,36.000000,1995.000000,10.000000,"OCT 1995",1.119679,19750.209740,1.140925,17639.174321
1995-11-01,19229.110000,47942.890000,23347.510000,10599.000000,85.000000,35.000000,28956.020000,38.000000,1995.000000,11.000000,"NOV 1995",0.976273,17337.922889,1.109078,17759.302260
1995-12-01,28694.600000,73918.340000,38231.570000,14508.000000,96.000000,39.000000,40027.780000,52.000000,1995.000000,12.000000,"DEC 1995",0.901387,15989.637776,1.794575,17738.927315
1996-01-01,17679.000000,28182.680000,12883.500000,9862.000000,80.000000,47.000000,30981.430000,42.000000,1996.000000,1.000000,"JAN 1996",1.016249,18574.061641,0.951811,18277.083730
1996-02-01,16991.330000,28526.250000,14239.680000,11626.000000,69.000000,39.000000,30864.110000,40.000000,1996.000000,2.000000,"FEB 1996",1.013809,20107.253703,0.845035,19833.375229
1996-03-01,16375.990000,44341.360000,13989.380000,10719.000000,72.000000,40.000000,30878.740000,42.000000,1996.000000,3.000000,"MAR 1996",0.920961,19239.862800,0.851149,20891.067521
1996-04-01,22562.400000,52901.810000,23358.820000,10065.000000,77.000000,34.000000,29963.570000,37.000000,1996.000000,4.000000,"APR 1996",1.229437,26561.129297,0.849452,21604.302228
1996-05-01,15713.780000,42483.370000,18503.740000,11398.000000,80.000000,34.000000,26957.770000,42.000000,1996.000000,5.000000,"MAY 1996",0.897647,18389.191647,0.854512,20486.001379
1996-06-01,16788.990000,44115.290000,11558.590000,10948.000000,89.000000,40.000000,26925.340000,44.000000,1996.000000,6.000000,"JUN 1996",0.979364,19389.969569,0.865860,19798.527153
1996-07-01,15460.810000,40648.210000,13444.290000,11041.000000,76.000000,36.000000,30604.920000,33.000000,1996.000000,7.000000,"JUL 1996",0.951812,18064.376935,0.855873,18978.931549
1996-08-01,19541.030000,41637.650000,13782.440000,11022.000000,72.000000,41.000000,22690.310000,41.000000,1996.000000,8.000000,"AUG 1996",1.060075,20548.569208,0.950968,19384.065967
1996-09-01,17080.420000,51194.980000,13288.080000,10789.000000,102.000000,37.000000,28642.160000,45.000000,1996.000000,9.000000,"SEP 1996",0.930783,18350.983934,0.930763,19715.637212
1996-10-01,23491.870000,50884.340000,17955.040000,11419.000000,87.000000,41.000000,29108.630000,47.000000,1996.000000,10.000000,"OCT 1996",1.017780,20590.194767,1.140925,20230.497640
1996-11-01,24450.600000,47875.820000,20520.580000,11419.000000,89.000000,45.000000,24164.440000,43.000000,1996.000000,11.000000,"NOV 1996",1.087687,22045.878223,1.109078,20268.586367
1996-12-01,34028.010000,69112.810000,34929.230000,13666.000000,91.000000,52.000000,34843.650000,54.000000,1996.000000,12.000000,"DEC 1996",0.960497,18961.600933,1.794575,19741.454015
1997-01-01,17917.910000,25647.490000,11043.410000,11611.000000,75.000000,40.000000,23542.260000,41.000000,1997.000000,1.000000,"JAN 1997",0.986809,18825.067301,0.951811,19076.701976
1997-02-01,15596.130000,24421.910000,11384.900000,10882.000000,81.000000,36.000000,27434.750000,35.000000,1997.000000,2.000000,"FEB 1997",0.978878,18456.197525,0.845035,18854.436972
1997-03-01,15604.660000,40030.110000,13779.560000,11288.000000,64.000000,37.000000,28652.300000,32.000000,1997.000000,3.000000,"MAR 1997",0.953769,18333.640741,0.851149,19222.307154
1997-04-01,17874.440000,41055.370000,12655.110000,11096.000000,87.000000,43.000000,31720.310000,36.000000,1997.000000,4.000000,"APR 1997",1.055805,21042.323155,0.849452,19930.120557
1997-05-01,17242.110000,46385.560000,22997.570000,11224.000000,57.000000,41.000000,32246.550000,46.000000,1997.000000,5.000000,"MAY 1997",0.982815,20177.733505,0.854512,20530.543598
1997-06-01,17979.720000,45873.160000,10989.570000,11483.000000,104.000000,41.000000,29281.370000,44.000000,1997.000000,6.000000,"JUN 1997",0.994049,20765.169534,0.865860,20889.476703
1997-07-01,19080.030000,45480.150000,11888.010000,11643.000000,71.000000,43.000000,25594.920000,49.000000,1997.000000,7.000000,"JUL 1997",1.169724,22293.065749,0.855873,19058.396630
1997-08-01,18758.660000,48561.860000,16730.920000,10893.000000,66.000000,40.000000,28863.190000,50.000000,1997.000000,8.000000,"AUG 1997",1.168960,19725.860063,0.950968,16874.709725
1997-09-01,3245.180000,31578.770000,8641.830000,1147.000000,89.000000,42.000000,29526.590000,45.000000,1997.000000,9.000000,"SEP 1997",0.235599,3486.579724,0.930763,14798.817474
1997-10-01,23241.040000,57673.570000,15047.700000,12260.000000,106.000000,38.000000,26296.050000,51.000000,1997.000000,10.000000,"OCT 1997",1.225447,20370.346855,1.140925,16622.789605
1997-11-01,22452.330000,52061.740000,21102.200000,11168.000000,78.000000,39.000000,21447.370000,50.000000,1997.000000,11.000000,"NOV 1997",1.067245,20244.138508,1.109078,18968.590361
1997-12-01,38236.590000,75818.170000,33785.720000,14370.000000,85.000000,59.000000,31109.750000,63.000000,1997.000000,12.000000,"DEC 1997",0.998565,21306.769353,1.794575,21337.392697
1998-01-01,22028.800000,31267.580000,10388.660000,11890.000000,92.000000,50.000000,24474.300000,53.000000,1998.000000,1.000000,"JAN 1998",1.057172,23144.085586,0.951811,21892.447833
1998-02-01,17719.900000,31514.680000,15582.680000,11722.000000,57.000000,42.000000,32105.830000,50.000000,1998.000000,2.000000,"FEB 1998",0.978911,20969.431168,0.845035,21421.176594
1998-03-01,19408.950000,49715.250000,11647.560000,11589.000000,86.000000,50.000000,27143.160000,53.000000,1998.000000,3.000000,"MAR 1998",1.079237,22803.234191,0.851149,21129.036107
1998-04-01,14169.610000,52026.070000,13117.080000,11633.000000,67.000000,32.000000,28349.670000,58.000000,1998.000000,4.000000,"APR 1998",0.810722,16680.886931,0.849452,20575.339717
1998-05-01,19916.020000,41038.750000,13195.130000,11951.000000,88.000000,47.000000,18061.200000,41.000000,1998.000000,5.000000,"MAY 1998",1.093960,23306.900608,0.854512,21305.077443
1998-06-01,19001.890000,48329.360000,12642.910000,11706.000000,80.000000,49.000000,29071.060000,46.000000,1998.000000,6.000000,"JUN 1998",0.966134,21945.695890,0.865860,22714.963938
1998-07-01,18631.150000,44961.980000,12554.130000,11460.000000,80.000000,46.000000,28232.170000,43.000000,1998.000000,7.000000,"JUL 1998",0.881226,21768.595328,0.855873,24702.615208
1998-08-01,30208.170000,58660.760000,24377.910000,11808.000000,85.000000,44.000000,26668.160000,45.000000,1998.000000,8.000000,"AUG 1998",1.221535,31765.708967,0.950968,26004.757364
1998-09-01,24467.940000,57791.140000,16044.000000,12781.000000,83.000000,49.000000,29911.680000,54.000000,1998.000000,9.000000,"SEP 1998",1.040250,26288.040566,0.930763,25270.893167
1998-10-01,23602.000000,56329.400000,15974.660000,11690.000000,95.000000,43.000000,27872.970000,55.000000,1998.000000,10.000000,"OCT 1998",0.879382,20686.721699,1.140925,23524.170281
1998-11-01,24289.320000,54617.350000,23753.230000,11393.000000,76.000000,48.000000,26047.700000,53.000000,1998.000000,11.000000,"NOV 1998",1.024953,21900.460146,1.109078,21367.279630
1998-12-01,38609.660000,80245.970000,35893.860000,15263.000000,95.000000,53.000000,36666.600000,68.000000,1998.000000,12.000000,"DEC 1998",1.042927,21514.657045,1.794575,20629.113270
