region	tenure	age	marital	address	income	ed	employ	retire	gender	reside	tollfree	equip	callcard	wireless	longmon	tollmon	equipmon	cardmon	wiremon	longten	tollten	equipten	cardten	wireten	multline	voice	pager	internet	callid	callwait	forward	confer	ebill	loglong	logtoll	logequi	logcard	logwire	lninc	custcat	churn
3	7	35	0	14	80.000000	2	15	0.000000	1	1	1	0	1	0	7.100000	22.000000	0.000000	23.750000	0.000000	47.450000	166.100000	0.000000	145.000000	0.000000	0	1	0	0	1	1	1	1	0	1.960095	3.091042		3.167583		4.382027	3	0
1	41	38	1	8	37.000000	2	9	0.000000	1	3	0	0	1	0	8.550000	0.000000	0.000000	41.750000	0.000000	308.700000	0.000000	0.000000	1650.000000	0.000000	0	0	0	0	0	0	0	0	0	2.145931			3.731699		3.610918	1	0
2	57	54	1	30	115.000000	4	23	0.000000	1	3	1	1	0	1	15.600000	46.250000	46.700000	0.000000	61.050000	825.350000	2624.250000	2590.950000	0.000000	3348.850000	1	1	1	1	1	1	1	1	1	2.747271	3.834061	3.843744		4.111693	4.744932	4	1
2	9	46	0	3	25.000000	1	8	0.000000	1	2	0	0	0	0	4.400000	0.000000	0.000000	0.000000	0.000000	36.800000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	1.481605					3.218876	1	0
1	29	38	1	12	75.000000	5	1	0.000000	0	4	0	1	1	0	5.100000	0.000000	30.250000	11.250000	0.000000	146.250000	0.000000	780.800000	295.000000	0.000000	1	0	0	1	0	0	0	0	0	1.629241		3.409496	2.420368		4.317488	2	0
3	60	57	0	38	162.000000	2	30	0.000000	0	1	1	1	1	0	16.150000	29.750000	31.300000	30.000000	0.000000	946.900000	1767.600000	1788.950000	1795.000000	0.000000	1	0	0	0	1	1	1	1	0	2.781920	3.392829	3.443618	3.401197		5.087596	3	0
3	34	48	0	3	49.000000	2	6	0.000000	1	3	1	0	0	0	6.650000	18.500000	0.000000	0.000000	0.000000	230.800000	614.300000	0.000000	0.000000	0.000000	0	0	0	0	0	1	1	1	0	1.894617	2.917771				3.891820	3	0
2	1	24	0	3	20.000000	1	3	0.000000	0	1	0	0	0	0	1.050000	0.000000	0.000000	0.000000	0.000000	1.050000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0.048790					2.995732	1	0
1	26	29	1	3	77.000000	4	2	0.000000	0	4	0	1	1	1	6.700000	0.000000	48.100000	24.250000	38.300000	140.950000	0.000000	1132.800000	610.000000	910.100000	1	1	0	1	1	1	1	1	1	1.902108		3.873282	3.188417	3.645450	4.343805	4	1
3	6	30	0	7	16.000000	3	1	0.000000	1	1	0	1	0	1	3.750000	0.000000	33.800000	0.000000	18.700000	25.650000	0.000000	175.300000	0.000000	78.200000	1	0	1	1	0	1	0	0	0	1.321756		3.520461		2.928524	2.772589	2	1
1	68	52	1	17	120.000000	1	24	0.000000	0	2	0	0	1	0	20.700000	0.000000	0.000000	22.000000	0.000000	1391.050000	0.000000	0.000000	1505.000000	0.000000	0	0	0	0	0	0	1	0	0	3.030134			3.091042		4.787492	1	0
3	53	33	0	10	101.000000	5	4	0.000000	1	2	0	1	1	1	5.300000	0.000000	49.600000	26.750000	51.400000	253.350000	0.000000	2499.800000	1340.000000	2645.150000	1	1	0	1	0	1	1	1	1	1.667707		3.903991	3.286534	3.939638	4.615121	4	0
3	55	48	1	19	67.000000	1	25	0.000000	0	3	0	0	1	0	15.050000	0.000000	0.000000	27.250000	0.000000	810.450000	0.000000	0.000000	1390.000000	0.000000	0	0	0	0	0	0	0	0	0	2.711378			3.305054		4.204693	1	0
3	14	43	1	18	36.000000	1	5	0.000000	0	5	1	0	1	0	12.500000	19.750000	0.000000	18.000000	0.000000	153.750000	273.750000	0.000000	215.000000	0.000000	0	0	0	0	1	1	1	1	0	2.525729	2.983153		2.890372		3.583519	3	0
2	1	21	0	0	33.000000	2	0	0.000000	1	3	1	0	1	0	2.200000	20.750000	0.000000	40.500000	0.000000	2.200000	20.750000	0.000000	40.500000	0.000000	0	0	0	0	0	1	1	1	0	0.788457	3.032546		3.701302		3.496508	3	0
2	42	40	0	7	37.000000	2	8	0.000000	1	1	1	1	1	1	8.250000	23.500000	36.900000	28.000000	37.400000	399.150000	950.650000	1532.900000	1190.000000	1562.000000	1	1	0	1	1	1	0	1	1	2.110213	3.157000	3.608212	3.332205	3.621671	3.610918	4	0
3	25	33	1	11	31.000000	1	5	0.000000	0	4	0	0	0	0	9.100000	0.000000	0.000000	0.000000	0.000000	234.950000	0.000000	0.000000	0.000000	0.000000	1	0	0	0	1	0	1	0	0	2.208274					3.433987	3	0
1	9	21	1	1	17.000000	2	2	0.000000	1	3	0	0	0	0	2.900000	0.000000	0.000000	0.000000	0.000000	25.250000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	1	0	0	0	0	1.064711					2.833213	1	0
2	13	33	1	9	19.000000	4	0	0.000000	1	2	0	1	0	0	5.550000	0.000000	27.350000	0.000000	0.000000	75.250000	0.000000	330.650000	0.000000	0.000000	1	0	0	1	0	0	0	1	1	1.713798		3.308717			2.944439	2	0
1	56	37	1	6	36.000000	1	13	0.000000	1	2	0	1	1	0	10.600000	0.000000	31.100000	18.250000	0.000000	582.600000	0.000000	1756.350000	1005.000000	0.000000	1	0	0	1	0	0	0	0	1	2.360854		3.437208	2.904165		3.583519	2	0
1	71	53	1	27	155.000000	5	12	0.000000	0	2	1	0	1	1	21.000000	56.000000	0.000000	34.000000	49.950000	1519.200000	4064.300000	0.000000	2345.000000	3646.900000	1	1	0	1	0	0	1	1	1	3.044522	4.025352		3.526361	3.911023	5.043425	4	0
1	35	50	1	26	140.000000	2	21	0.000000	1	4	1	0	1	0	6.500000	27.500000	0.000000	35.000000	0.000000	247.550000	1068.250000	0.000000	1215.000000	0.000000	0	0	0	0	0	1	1	1	0	1.871802	3.314186		3.555348		4.941642	3	0
1	11	27	1	8	55.000000	5	0	0.000000	0	3	0	1	0	0	4.800000	0.000000	19.550000	0.000000	0.000000	54.100000	0.000000	220.400000	0.000000	0.000000	1	0	0	1	0	0	0	0	0	1.568616		2.972975			4.007333	2	0
2	60	46	1	13	163.000000	3	24	0.000000	0	2	1	1	1	1	33.900000	38.250000	44.650000	13.750000	55.250000	1947.950000	2326.350000	2645.850000	840.000000	3125.950000	1	1	1	1	0	1	1	1	1	3.523415	3.644144	3.798854	2.621039	4.011868	5.093750	4	0
3	20	35	1	11	52.000000	4	0	0.000000	0	2	0	1	0	0	4.250000	0.000000	30.550000	0.000000	0.000000	82.700000	0.000000	547.150000	0.000000	0.000000	1	0	0	1	0	0	0	0	1	1.446919		3.419365			3.951244	2	1
2	54	60	0	38	211.000000	4	25	0.000000	0	1	1	1	1	1	21.150000	39.250000	46.350000	54.250000	54.850000	1228.700000	2102.250000	2421.300000	2785.000000	2895.850000	1	1	1	1	1	0	0	1	1	3.051640	3.669951	3.836221	3.993603	4.004602	5.351858	4	0
1	44	57	1	1	186.000000	2	17	0.000000	0	2	1	0	1	1	9.800000	33.500000	0.000000	36.000000	41.650000	428.250000	1379.550000	0.000000	1535.000000	1826.700000	1	1	0	0	1	1	1	1	0	2.282382	3.511545		3.583519	3.729301	5.225747	3	0
1	11	41	1	0	39.000000	1	1	0.000000	1	2	1	0	1	0	6.550000	29.250000	0.000000	19.750000	0.000000	67.800000	303.650000	0.000000	200.000000	0.000000	0	1	0	0	1	1	1	1	0	1.879465	3.375880		2.983153		3.663562	3	1
2	72	57	0	34	22.000000	2	35	1.000000	1	1	1	0	1	0	41.750000	49.000000	0.000000	18.750000	0.000000	3043.050000	3581.000000	0.000000	1360.000000	0.000000	1	0	0	0	1	1	1	1	0	3.731699	3.891820		2.931194		3.091042	3	0
3	10	41	0	7	30.000000	1	7	0.000000	0	1	1	0	1	0	2.500000	19.250000	0.000000	53.750000	0.000000	31.250000	178.200000	0.000000	490.000000	0.000000	0	0	0	0	1	1	1	1	0	0.916291	2.957511		3.984344		3.401197	3	0
2	15	28	0	0	29.000000	2	4	0.000000	1	1	1	0	1	0	4.250000	30.000000	0.000000	17.750000	0.000000	78.000000	426.050000	0.000000	255.000000	0.000000	0	0	0	0	1	1	1	1	0	1.446919	3.401197		2.876386		3.367296	3	0
2	27	28	1	4	23.000000	2	8	0.000000	0	5	0	0	0	0	6.200000	0.000000	0.000000	0.000000	0.000000	180.150000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	1	0	0	0	0	1.824549					3.135494	1	0
1	9	36	1	14	62.000000	4	10	0.000000	0	6	0	1	0	1	5.650000	0.000000	46.750000	0.000000	48.500000	43.300000	0.000000	386.600000	0.000000	364.850000	1	1	1	1	0	0	0	1	1	1.731656		3.844814		3.881564	4.127134	4	1
1	64	43	1	20	76.000000	4	20	0.000000	1	4	1	0	1	0	14.700000	18.750000	0.000000	11.000000	0.000000	897.050000	1279.250000	0.000000	680.000000	0.000000	1	0	0	0	1	1	0	1	0	2.687847	2.931194		2.397895		4.330733	3	0
1	65	41	1	3	74.000000	4	16	0.000000	0	2	0	1	1	0	14.500000	0.000000	37.000000	17.000000	0.000000	963.300000	0.000000	2263.050000	1065.000000	0.000000	1	1	0	1	0	0	0	0	1	2.674149		3.610918	2.833213		4.304065	2	0
1	49	51	1	27	63.000000	4	19	0.000000	0	5	1	0	1	0	12.850000	25.750000	0.000000	14.250000	0.000000	585.600000	1278.450000	0.000000	635.000000	0.000000	1	0	0	1	0	1	0	0	1	2.553344	3.248435		2.656757		4.143135	2	0
3	47	41	1	0	36.000000	4	8	0.000000	0	2	0	1	1	1	7.750000	0.000000	37.450000	18.500000	38.800000	361.000000	0.000000	1717.750000	845.000000	1730.400000	1	0	1	1	0	1	0	1	1	2.047693		3.623007	2.917771	3.658420	3.583519	4	1
3	9	34	1	9	33.000000	2	8	0.000000	1	4	0	1	0	0	2.950000	0.000000	22.950000	0.000000	0.000000	18.900000	0.000000	208.550000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	1.081805		3.133318			3.496508	1	1
1	5	36	0	14	29.000000	2	9	0.000000	1	1	1	0	1	1	3.250000	31.500000	0.000000	15.500000	26.750000	16.800000	154.650000	0.000000	60.000000	98.600000	0	0	0	1	1	1	1	1	1	1.178655	3.449988		2.740840	3.286534	3.367296	3	1
2	30	34	1	4	27.000000	2	1	0.000000	0	5	0	1	0	0	6.300000	0.000000	22.500000	0.000000	0.000000	150.900000	0.000000	690.750000	0.000000	0.000000	0	0	0	1	0	0	0	0	0	1.840550		3.113515			3.295837	1	1
1	56	52	1	28	49.000000	2	12	0.000000	0	4	0	0	1	0	24.750000	0.000000	0.000000	22.250000	0.000000	1349.050000	0.000000	0.000000	1215.000000	0.000000	1	0	0	0	0	0	0	0	0	3.208825			3.102342		3.891820	2	0
3	10	22	0	0	24.000000	4	0	0.000000	0	1	1	1	1	1	7.800000	23.750000	37.250000	22.500000	30.050000	63.000000	222.550000	330.400000	185.000000	306.300000	1	1	1	1	1	1	1	1	1	2.054124	3.167583	3.617652	3.113515	3.402863	3.178054	4	0
1	7	26	1	3	26.000000	2	2	0.000000	0	5	1	0	0	0	4.850000	15.500000	0.000000	0.000000	0.000000	33.700000	136.550000	0.000000	0.000000	0.000000	0	0	0	0	0	1	0	0	0	1.578979	2.740840				3.258097	1	0
1	52	27	0	6	47.000000	3	5	0.000000	0	2	1	0	1	0	6.250000	18.500000	0.000000	14.250000	0.000000	330.400000	942.650000	0.000000	725.000000	0.000000	0	0	0	0	1	0	0	0	1	1.832581	2.917771		2.656757		3.850148	1	0
2	36	45	1	1	94.000000	2	18	0.000000	1	5	1	1	0	0	7.200000	15.750000	28.350000	0.000000	0.000000	258.750000	553.800000	1043.800000	0.000000	0.000000	0	0	1	1	1	0	0	1	0	1.974081	2.756840	3.344627			4.543295	1	1
3	27	34	0	8	21.000000	3	4	0.000000	1	1	0	0	0	0	7.650000	0.000000	0.000000	0.000000	0.000000	213.450000	0.000000	0.000000	0.000000	0.000000	1	0	0	0	0	0	0	0	0	2.034706					3.044522	2	0
1	58	62	1	36	27.000000	1	0	0.000000	0	2	0	0	1	0	15.500000	0.000000	0.000000	34.500000	0.000000	967.100000	0.000000	0.000000	1910.000000	0.000000	0	0	0	0	0	0	0	0	0	2.740840			3.540959		3.295837	1	0
2	41	52	0	27	30.000000	2	2	0.000000	1	1	1	0	1	1	10.400000	28.000000	0.000000	19.000000	27.500000	447.850000	1152.000000	0.000000	800.000000	1036.650000	0	0	0	0	1	1	1	1	0	2.341806	3.332205		2.944439	3.314186	3.401197	3	0
2	47	40	1	16	127.000000	4	12	0.000000	1	4	0	1	1	0	19.700000	0.000000	28.150000	14.750000	0.000000	909.900000	0.000000	1319.700000	680.000000	0.000000	1	0	0	1	0	0	0	0	1	2.980619		3.337547	2.691243		4.844187	2	0
2	55	39	1	15	137.000000	2	20	0.000000	1	2	1	0	1	0	12.700000	27.500000	0.000000	11.500000	0.000000	676.900000	1505.200000	0.000000	620.000000	0.000000	0	1	0	0	1	1	1	1	0	2.541602	3.314186		2.442347		4.919981	3	1
2	56	50	1	1	80.000000	2	24	0.000000	1	4	1	0	1	1	28.800000	55.500000	0.000000	21.250000	61.100000	1558.100000	3119.450000	0.000000	1065.000000	3268.050000	1	1	1	0	1	1	1	1	0	3.360375	4.016383		3.056357	4.112512	4.382027	4	0
3	35	55	0	24	30.000000	2	2	0.000000	0	1	0	0	1	0	10.250000	0.000000	0.000000	15.750000	0.000000	395.850000	0.000000	0.000000	550.000000	0.000000	0	0	0	0	0	0	0	0	0	2.327278			2.756840		3.401197	1	0
2	69	51	1	11	438.000000	4	23	0.000000	1	2	0	1	1	0	29.000000	0.000000	47.050000	24.750000	0.000000	1815.400000	0.000000	3064.150000	1655.000000	0.000000	1	0	1	1	1	0	0	1	0	3.367296		3.851211	3.208825		6.082219	4	0
2	44	39	0	16	79.000000	2	16	0.000000	0	1	1	1	1	1	15.250000	24.500000	37.450000	27.250000	30.050000	653.700000	1037.450000	1610.100000	1110.000000	1280.000000	1	0	1	1	1	1	1	1	1	2.724580	3.198673	3.623007	3.305054	3.402863	4.369448	4	1
3	36	47	1	16	63.000000	1	23	0.000000	0	2	0	0	1	0	9.050000	0.000000	0.000000	6.750000	0.000000	373.650000	0.000000	0.000000	220.000000	0.000000	0	0	0	0	0	0	0	0	0	2.202765			1.909543		4.143135	1	0
3	28	51	1	22	40.000000	3	10	0.000000	1	6	1	0	0	0	8.950000	21.250000	0.000000	0.000000	0.000000	253.550000	586.950000	0.000000	0.000000	0.000000	0	0	0	0	1	1	1	1	0	2.191654	3.056357				3.688879	3	0
1	72	67	1	44	51.000000	1	34	1.000000	0	2	1	0	1	0	57.050000	51.500000	0.000000	19.250000	0.000000	4168.250000	3657.900000	0.000000	1345.000000	0.000000	1	0	0	0	1	1	1	1	0	4.043928	3.941582		2.957511		3.931826	3	0
1	16	27	0	5	37.000000	3	5	0.000000	0	4	0	0	0	0	6.000000	0.000000	0.000000	0.000000	0.000000	80.700000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	1.791759					3.610918	1	0
3	3	43	0	19	61.000000	4	11	0.000000	1	1	0	1	1	1	3.150000	0.000000	27.250000	16.250000	17.950000	7.900000	0.000000	53.250000	20.000000	38.200000	0	0	0	1	1	0	0	1	1	1.147402		3.305054	2.788093	2.887590	4.110874	1	1
1	40	57	1	15	22.000000	2	9	0.000000	0	2	0	0	1	0	8.550000	0.000000	0.000000	19.750000	0.000000	381.500000	0.000000	0.000000	710.000000	0.000000	0	0	0	0	0	0	0	0	0	2.145931			2.983153		3.091042	1	0
3	16	39	0	6	44.000000	4	3	0.000000	1	1	0	1	0	0	6.600000	0.000000	23.300000	0.000000	0.000000	96.300000	0.000000	350.150000	0.000000	0.000000	1	0	0	1	0	0	0	0	1	1.887070		3.148453			3.784190	2	0
1	20	42	0	4	17.000000	3	5	0.000000	0	1	0	0	0	0	7.800000	0.000000	0.000000	0.000000	0.000000	175.850000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	2.054124					2.833213	1	0
2	48	43	0	13	110.000000	5	15	0.000000	1	3	0	1	0	1	7.250000	0.000000	33.500000	0.000000	20.650000	359.350000	0.000000	1572.700000	0.000000	1010.400000	1	1	0	1	0	0	0	0	1	1.981001		3.511545		3.027715	4.700480	2	0
2	64	48	1	13	91.000000	2	24	0.000000	0	2	1	0	1	1	24.500000	24.750000	0.000000	12.500000	29.650000	1531.900000	1569.250000	0.000000	780.000000	1875.950000	1	0	0	0	1	1	1	1	0	3.198673	3.208825		2.525729	3.389462	4.510860	3	0
1	8	46	0	3	46.000000	2	8	0.000000	0	1	0	1	0	0	3.150000	0.000000	25.050000	0.000000	0.000000	16.650000	0.000000	172.050000	0.000000	0.000000	0	0	1	1	0	0	0	0	1	1.147402		3.220874			3.828641	1	0
1	40	38	1	10	85.000000	3	12	0.000000	0	2	0	0	0	0	10.600000	0.000000	0.000000	0.000000	0.000000	384.800000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	1	1	1	1	0	2.360854					4.442651	3	1
2	38	71	0	27	10.000000	2	12	1.000000	0	1	0	0	0	0	11.200000	0.000000	0.000000	0.000000	0.000000	429.850000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	1	0	2.415914					2.302585	1	0
1	67	68	0	28	244.000000	1	47	0.000000	1	1	1	0	1	0	30.250000	30.250000	0.000000	30.750000	0.000000	2186.200000	2036.150000	0.000000	2105.000000	0.000000	0	1	0	0	1	1	1	1	0	3.409496	3.409496		3.425890		5.497168	3	0
1	26	42	0	0	80.000000	4	15	0.000000	1	1	1	1	1	1	7.850000	44.000000	49.600000	10.500000	43.750000	196.650000	1123.250000	1159.350000	250.000000	1176.550000	1	1	1	1	1	1	1	1	1	2.060514	3.784190	3.903991	2.351375	3.778492	4.382027	4	0
3	41	34	1	15	83.000000	5	1	0.000000	1	2	1	0	1	0	8.900000	33.750000	0.000000	5.750000	0.000000	379.550000	1404.450000	0.000000	220.000000	0.000000	1	1	1	1	1	1	1	1	0	2.186051	3.518980		1.749200		4.418841	4	0
2	2	31	0	2	21.000000	1	6	0.000000	0	1	0	1	0	0	1.650000	0.000000	21.600000	0.000000	0.000000	3.200000	0.000000	17.250000	0.000000	0.000000	0	0	0	0	0	0	0	1	0	0.500775		3.072693			3.044522	1	1
3	20	48	1	29	24.000000	2	3	0.000000	0	2	1	0	1	0	11.850000	22.500000	0.000000	35.000000	0.000000	230.700000	452.750000	0.000000	675.000000	0.000000	1	1	1	0	1	1	1	1	0	2.472328	3.113515		3.555348		3.178054	4	1
2	31	53	0	2	351.000000	3	31	0.000000	1	1	1	0	1	0	5.500000	31.500000	0.000000	19.250000	0.000000	185.300000	1009.900000	0.000000	585.000000	0.000000	0	0	1	0	1	1	1	1	0	1.704748	3.449988		2.957511		5.860786	3	0
2	45	52	1	4	169.000000	4	29	0.000000	1	4	0	1	1	0	14.650000	0.000000	40.450000	14.250000	0.000000	618.150000	0.000000	1820.400000	690.000000	0.000000	1	0	0	1	0	0	0	0	0	2.684440		3.700067	2.656757		5.129899	2	0
2	33	27	1	7	46.000000	2	7	0.000000	0	4	0	1	0	0	7.250000	0.000000	29.150000	0.000000	0.000000	243.350000	0.000000	923.850000	0.000000	0.000000	0	0	0	0	0	0	0	0	1	1.981001		3.372455			3.828641	1	0
1	10	26	0	6	34.000000	3	3	0.000000	0	1	0	1	0	0	4.850000	0.000000	27.700000	0.000000	0.000000	41.850000	0.000000	223.050000	0.000000	0.000000	1	0	0	0	0	0	0	0	0	1.578979		3.321432			3.526361	2	0
2	62	54	1	2	50.000000	4	3	0.000000	0	2	0	1	1	1	17.250000	0.000000	48.000000	87.500000	33.250000	1067.800000	0.000000	2864.150000	5455.000000	2022.550000	1	1	1	1	1	0	1	0	1	2.847812		3.871201	4.471639	3.504055	3.912023	4	1
2	4	35	0	16	161.000000	5	6	0.000000	1	1	1	1	0	1	3.400000	23.750000	49.800000	0.000000	35.750000	10.350000	103.100000	126.950000	0.000000	135.250000	0	1	1	1	1	1	1	1	1	1.223775	3.167583	3.908015		3.576550	5.081404	4	1
1	42	47	1	17	212.000000	4	17	0.000000	0	2	1	0	1	0	7.450000	26.750000	0.000000	24.750000	0.000000	320.900000	1163.550000	0.000000	1035.000000	0.000000	0	0	0	0	1	1	1	0	0	2.008214	3.286534		3.208825		5.356586	3	0
3	27	51	1	3	80.000000	5	11	0.000000	0	3	0	1	0	0	7.100000	0.000000	39.400000	0.000000	0.000000	176.200000	0.000000	1086.650000	0.000000	0.000000	1	0	1	1	0	0	0	0	1	1.960095		3.673766			4.382027	2	0
2	38	42	0	1	30.000000	4	7	0.000000	1	1	1	0	0	0	13.200000	27.500000	0.000000	0.000000	0.000000	495.850000	1087.900000	0.000000	0.000000	0.000000	0	0	0	0	0	1	0	0	0	2.580217	3.314186				3.401197	1	0
3	52	61	1	3	53.000000	5	1	0.000000	1	2	0	1	1	1	12.250000	0.000000	38.400000	8.750000	35.950000	631.700000	0.000000	1884.100000	465.000000	1971.350000	1	1	0	1	0	0	0	1	1	2.505526		3.648057	2.169054	3.582129	3.970292	2	0
3	35	33	0	9	73.000000	5	4	0.000000	1	1	1	0	1	1	5.850000	38.250000	0.000000	22.250000	40.350000	216.600000	1337.600000	0.000000	700.000000	1423.800000	1	1	1	1	1	1	1	1	1	1.766442	3.644144		3.102342	3.697591	4.290459	4	0
3	3	20	1	1	17.000000	2	0	0.000000	1	4	0	0	0	0	3.750000	0.000000	0.000000	0.000000	0.000000	12.300000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	1	1.321756					2.833213	1	1
2	17	33	0	9	23.000000	5	3	0.000000	0	1	0	1	1	1	10.200000	0.000000	36.400000	14.500000	30.900000	196.300000	0.000000	570.900000	220.000000	529.250000	1	1	0	1	1	1	0	0	1	2.322388		3.594569	2.674149	3.430756	3.135494	4	1
1	55	53	1	21	34.000000	1	8	0.000000	0	2	0	0	0	0	5.700000	0.000000	0.000000	0.000000	0.000000	304.400000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	1	1	1	0	1.740466					3.526361	3	0
3	43	36	1	5	107.000000	1	19	0.000000	1	3	1	0	1	0	11.550000	12.750000	0.000000	21.500000	0.000000	491.550000	583.750000	0.000000	910.000000	0.000000	1	0	0	0	0	0	0	0	0	2.446685	2.545531		3.068053		4.672829	2	1
2	47	25	1	5	21.000000	1	1	0.000000	1	2	1	0	1	0	8.650000	30.500000	0.000000	9.000000	0.000000	426.600000	1465.450000	0.000000	405.000000	0.000000	0	0	0	0	0	1	1	1	0	2.157559	3.417727		2.197225		3.044522	3	1
3	65	58	0	30	83.000000	2	16	0.000000	1	1	0	0	1	0	19.300000	0.000000	0.000000	22.750000	0.000000	1323.200000	0.000000	0.000000	1370.000000	0.000000	1	0	0	0	0	1	0	0	0	2.960105			3.124565		4.418841	2	0
1	13	20	0	1	17.000000	3	0	0.000000	0	5	0	1	1	0	3.050000	0.000000	31.300000	14.000000	0.000000	40.300000	0.000000	390.600000	155.000000	0.000000	1	0	0	1	1	1	1	1	1	1.115142		3.443618	2.639057		2.833213	4	0
3	64	25	1	4	76.000000	3	2	0.000000	1	6	0	1	1	0	24.050000	0.000000	35.400000	21.250000	0.000000	1536.550000	0.000000	2288.450000	1400.000000	0.000000	1	0	0	0	1	0	1	1	1	3.180135		3.566712	3.056357		4.330733	3	0
2	12	24	0	2	19.000000	1	0	0.000000	0	1	1	0	1	0	4.000000	24.750000	0.000000	27.250000	0.000000	46.000000	299.000000	0.000000	295.000000	0.000000	0	0	0	0	1	1	1	1	0	1.386294	3.208825		3.305054		2.944439	3	1
1	29	32	1	0	49.000000	4	3	0.000000	1	3	0	1	0	0	6.700000	0.000000	33.000000	0.000000	0.000000	187.000000	0.000000	918.250000	0.000000	0.000000	1	0	1	1	0	0	0	0	1	1.902108		3.496508			3.891820	2	1
2	23	47	0	21	173.000000	3	22	0.000000	1	1	0	0	0	0	7.600000	0.000000	0.000000	0.000000	0.000000	145.900000	0.000000	0.000000	0.000000	0.000000	1	0	0	0	1	0	0	1	1	2.028148					5.153292	2	0
2	14	35	0	4	47.000000	3	10	0.000000	1	1	1	0	0	1	5.000000	21.750000	0.000000	0.000000	24.150000	76.200000	318.200000	0.000000	0.000000	274.000000	1	0	0	0	0	0	1	1	1	1.609438	3.079614			3.184284	3.850148	2	1
1	35	61	0	23	41.000000	2	11	0.000000	0	1	0	0	1	0	9.600000	0.000000	0.000000	9.500000	0.000000	353.550000	0.000000	0.000000	295.000000	0.000000	0	0	0	0	0	0	0	0	0	2.261763			2.251292		3.713572	1	0
